Date,State,County,Species,Group,Strain
03/18/2026,California,San Luis Obispo,California sea lion,Marine Mammals,EA H5N1
03/13/2026,New York,Westchester,Red fox,Wild Carnivores,EA H5
03/13/2026,New Jersey,Essex,Domestic cat,Domestic/Companion,EA H5
03/12/2026,Alaska,Nome,Red fox,Wild Carnivores,EA H5N1
03/10/2026,Colorado,Weld,Fox (unidentified),Wild Carnivores,EA H5
03/10/2026,Colorado,Weld,Fox (unidentified),Wild Carnivores,EA H5
03/06/2026,Wisconsin,Jefferson,Virginia opossum,Rodents/Small Mammals,EA H5
03/05/2026,Minnesota,Scott,Skunk (unidentified),Wild Carnivores,EA H5
03/05/2026,Wisconsin,Jefferson,Domestic cat,Domestic/Companion,EA H5
03/05/2026,Wisconsin,Jefferson,Striped skunk,Wild Carnivores,EA H5
03/04/2026,California,San Mateo,California sea lion,Marine Mammals,EA H5N1
03/02/2026,Colorado,Jefferson,Bobcat,Domestic/Companion,EA/AM H5N1
03/02/2026,Colorado,Adams,Striped skunk,Wild Carnivores,EA/AM H5N1
03/01/2026,Colorado,Weld,Skunk (unidentified),Wild Carnivores,EA H5
02/26/2026,California,San Mateo,Sea otter,Marine Mammals,EA H5N1
02/25/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/25/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/23/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/21/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/20/2026,Colorado,Weld,Skunk (unidentified),Wild Carnivores,EA H5
02/20/2026,California,San Mateo,Northern elephant seal,Marine Mammals,EA H5N1
02/19/2026,Oklahoma,Comanche,Bobcat,Domestic/Companion,EA H5
02/19/2026,Kansas,Butler,Striped skunk,Wild Carnivores,EA H5
02/18/2026,Minnesota,Ramsey,Skunk (unidentified),Wild Carnivores,EA H5
02/18/2026,Colorado,Weld,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
02/07/2026,Georgia,Hart,Norway rat,Rodents/Small Mammals,EA H5
02/07/2026,Georgia,Hart,Norway rat,Rodents/Small Mammals,EA H5
02/07/2026,Georgia,Hart,Norway rat,Rodents/Small Mammals,EA H5
02/07/2026,Georgia,Hart,Norway rat,Rodents/Small Mammals,EA H5
02/07/2026,Georgia,Hart,Norway rat,Rodents/Small Mammals,EA H5
02/05/2026,Colorado,Pueblo,Striped skunk,Wild Carnivores,EA/AM H5N1
02/03/2026,Connecticut,New Haven,Fox (unidentified),Wild Carnivores,EA/AM H5N1
01/29/2026,Montana,Teton,Striped skunk,Wild Carnivores,EA/AM H5N1
01/23/2026,Louisiana,Caddo,Domestic cat,Domestic/Companion,EA/AM H5N1
01/23/2026,Washington,San Juan,Red fox,Wild Carnivores,EA H5
01/18/2026,Georgia,Walker,House mouse,Rodents/Small Mammals,EA H5
01/15/2026,Washington,Clallam,Bobcat,Domestic/Companion,EA H5N1
01/14/2026,California,San Diego,Mountain lion,Wild Carnivores,EA H5N1
01/14/2026,California,Los Angeles,Catalina Island fox,Domestic/Companion,EA H5N1
01/13/2026,Oregon,Tillamook,Bobcat,Domestic/Companion,EA/AM H5N1
01/13/2026,California,Los Angeles,Catalina Island fox,Domestic/Companion,EA H5N1
01/10/2026,California,Placer,Mountain lion,Wild Carnivores,EA H5
01/09/2026,Washington,Grant,Domestic cat,Domestic/Companion,EA/AM H5N1
01/08/2026,Nebraska,Butler,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
01/07/2026,Washington,Whatcom,Striped skunk,Wild Carnivores,EA/AM H5N1
01/07/2026,New Jersey,Burlington,Domestic cat,Domestic/Companion,EA/AM H5N1
12/28/2025,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
12/24/2025,Washington,San Juan,Red fox,Wild Carnivores,EA H5N1
12/23/2025,Illinois,Knox,Domestic cat,Domestic/Companion,EA/AM H5N1
12/23/2025,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
12/19/2025,Idaho,Ada1,Mountain lion,Wild Carnivores,EA/AM H5N1
12/17/2025,Nebraska,Box Butte,Mountain lion,Wild Carnivores,EA/AM H5N1
12/16/2025,Florida,St. Johns,Red fox,Wild Carnivores,EA H5
12/08/2025,California,Los Angeles,Catalina Island fox,Domestic/Companion,EA H5N1
12/05/2025,Washington,San Juan,Raccoon,Wild Carnivores,EA/AM H5N1
12/05/2025,California,Los Angeles,Catalina Island fox,Domestic/Companion,EA H5N1
11/30/2025,Washington,San Juan,Raccoon,Wild Carnivores,EA H5
11/28/2025,Washington,Whatcom,Raccoon,Wild Carnivores,EA H5N1
11/25/2025,Colorado,Denver,Domestic cat,Domestic/Companion,EA/AM H5N1
11/24/2025,Texas,Potter,Bobcat,Domestic/Companion,EA/AM H5N1
11/24/2025,California,Ventura,Fox (unidentified),Wild Carnivores,EA H5N1
11/20/2025,Minnesota,Scott,Striped skunk,Wild Carnivores,EA/AM H5N1
11/20/2025,Louisiana,Union,Bobcat,Domestic/Companion,EA H5
11/19/2025,Oregon,Marion,Bobcat,Domestic/Companion,EA/AM H5N1
11/11/2025,Tennessee,Davidson1,Grizzly bear,Wild Carnivores,EA/AM H5N1
11/06/2025,New York,St. Lawrence,Striped skunk,Wild Carnivores,EA/AM H5N1
11/04/2025,North Dakota,Kidder,Domestic cat,Domestic/Companion,EA/AM H5N1
11/03/2025,Georgia,Gordon,Virginia opossum,Rodents/Small Mammals,EA H5
11/02/2025,Wyoming,Niobrara,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
