Date,State,County,Species,Strain
03/25/2026,North Dakota,Burleigh,Goose (unidentified),EA H5
03/24/2026,Washington,Walla Walla,Snow goose,EA H5
03/23/2026,New York,Ulster,American crow,EA H5
03/23/2026,New York,New York,Canada goose,EA H5
03/23/2026,New York,Suffolk,Peregrine falcon,EA H5
03/23/2026,New York,Suffolk,Canada goose,EA H5
03/23/2026,New York,St. Lawrence,Bald eagle,EA H5
03/23/2026,Minnesota,Polk,Trumpeter swan,EA H5
03/19/2026,Wisconsin,Dane,Red-tailed hawk,EA H5
03/18/2026,Pennsylvania,Northampton,Turkey vulture,EA H5
03/18/2026,Pennsylvania,Dauphin,Great horned owl,EA H5
03/17/2026,Washington,Pacific,Dunlin,EA H5N1
03/16/2026,New York,Bronx,Canada goose,EA H5
03/16/2026,New York,Westchester,Mute swan,EA H5
03/16/2026,New York,Montgomery,Red-tailed hawk,EA H5
03/16/2026,New York,Dutchess,Barred owl,EA H5
03/16/2026,New York,New York,Canada goose,EA H5
03/16/2026,New York,Albany,Red-tailed hawk,EA H5
03/16/2026,New York,Ulster,Red-tailed hawk,EA H5
03/16/2026,New York,Ulster,Red-tailed hawk,EA H5
03/16/2026,California,Yolo,Red-tailed hawk,EA H5
03/16/2026,Pennsylvania,Bucks,Common merganser,EA H5
03/16/2026,Pennsylvania,Bucks,Great blue heron,EA H5
03/14/2026,New Jersey,Hunterdon,Bald eagle,EA H5
03/14/2026,New Jersey,Hunterdon,Bald eagle,EA H5
03/13/2026,Utah,Weber,Gull (unidentified),EA H5
03/13/2026,Utah,Box Elder,Tundra swan,EA H5
03/13/2026,New York,Bronx,Canada goose,EA H5
03/13/2026,New York,Nassau,Red-tailed hawk,EA H5
03/13/2026,Alaska,Aleutians East,Brant,EA H5N1
03/12/2026,New York,Wayne,Canada goose,EA H5
03/12/2026,New Hampshire,Rockingham,Snowy owl,EA H5
03/12/2026,Michigan,Berrien,Canada goose,EA H5
03/11/2026,New York,Bronx,Red-tailed hawk,EA H5
03/11/2026,Michigan,Unknown,Bald eagle,EA H5
03/11/2026,California,Santa Cruz,Western gull,EA H5N1
03/11/2026,California,Santa Cruz,Sanderling,EA H5N1
03/11/2026,Florida,Hendry,Black vulture,EA H5
03/11/2026,South Carolina,Charleston,Black vulture,EA H5
03/10/2026,Washington,Pacific,Dunlin,EA H5N1
03/10/2026,Wisconsin,Walworth,House sparrow,EA H5
03/10/2026,Pennsylvania,Carbon,Bald eagle,EA H5
03/10/2026,Alabama,Lee,Bald eagle,EA H5
03/09/2026,Iowa,Black Hawk,Canada goose,EA H5
03/09/2026,New York,Bronx,Mallard,EA H5
03/09/2026,New York,Bronx,Canada goose,EA H5
03/09/2026,Michigan,Ottawa,Common merganser,EA H5
03/09/2026,Michigan,Ingham,American crow,EA H5
03/09/2026,New York,Steuben,Great horned owl,EA H5
03/09/2026,New York,Ontario,Red-tailed hawk,EA H5
03/09/2026,New York,Livingston,Red-shouldered hawk,EA H5
03/09/2026,New York,Saratoga,Mute swan,EA H5
03/09/2026,New York,Nassau,Red-tailed hawk,EA H5
03/09/2026,New York,Richmond,Canada goose,EA H5
03/09/2026,Pennsylvania,Lancaster,Canada goose,EA H5
03/09/2026,Pennsylvania,Lancaster,Snow goose,EA H5
03/08/2026,Texas,Bexar,Vulture (unidentified),EA H5
03/08/2026,Indiana,Brown,Bald eagle,EA H5
03/07/2026,Virginia,Augusta,Wood duck,EA H5
